event_id,user_id,product_id,event_type,event_date,event_time
E00054123,U007851,P000066,view,01-01-24,00:09:40
E00033208,U006416,P001043,view,01-01-24,00:11:45
E00029573,U008187,P001511,view,01-01-24,00:27:49
E00060021,U000486,P001215,cart,01-01-24,00:29:07
E00017221,U003951,P001476,purchase,01-01-24,00:42:59
E00063868,U005092,P001262,cart,01-01-24,00:48:37
E00006436,U009537,P000673,view,01-01-24,00:51:21
E00079365,U001365,P001123,wishlist,01-01-24,01:10:57
E00053449,U004776,P001042,view,01-01-24,01:22:24
E00006789,U001328,P000078,cart,01-01-24,01:31:59
E00004975,U000792,P000030,view,01-01-24,01:55:54
E00076975,U004032,P001179,purchase,01-01-24,02:14:38
E00033794,U001446,P001428,cart,01-01-24,02:31:06
E00008097,U000777,P001193,view,01-01-24,02:39:20
E00020534,U001622,P001002,view,01-01-24,02:42:50
E00063338,U004354,P001947,purchase,01-01-24,02:44:45
E00002282,U001249,P000839,view,01-01-24,02:46:22
E00062302,U004373,P000099,view,01-01-24,02:51:53
E00038284,U006968,P000079,view,01-01-24,02:58:30
E00070485,U000992,P001296,cart,01-01-24,03:06:44
E00005876,U005612,P001873,view,01-01-24,03:18:17
E00026557,U006906,P000165,view,01-01-24,03:21:16
E00057747,U004398,P000225,view,01-01-24,03:45:12
E00068771,U003533,P001976,wishlist,01-01-24,03:47:17
E00073952,U008609,P001741,wishlist,01-01-24,03:52:03
E00064031,U004212,P000756,cart,01-01-24,03:54:10
E00009894,U002417,P000230,view,01-01-24,03:57:27
E00061213,U007879,P000402,view,01-01-24,04:35:28
E00053866,U003172,P000115,view,01-01-24,04:44:31
E00039953,U002493,P000561,cart,01-01-24,04:44:54
E00009508,U000088,P001412,view,01-01-24,04:53:27
E00007655,U001713,P000644,cart,01-01-24,05:26:39
E00022081,U004454,P000175,view,01-01-24,05:28:46
E00018916,U000858,P000560,view,01-01-24,05:49:36
E00002394,U005272,P000831,view,01-01-24,06:11:39
E00017566,U002037,P000366,purchase,01-01-24,06:40:54
E00071049,U005505,P001015,view,01-01-24,07:03:21
E00072461,U007627,P000030,view,01-01-24,07:24:28
E00009464,U001979,P000342,cart,01-01-24,07:39:29
E00023300,U002390,P001025,view,01-01-24,07:40:43
E00007723,U003159,P000442,view,01-01-24,07:52:27
E00037753,U002258,P001301,view,01-01-24,08:10:41
E00005607,U009595,P000148,view,01-01-24,08:22:02
E00038258,U001047,P001450,view,01-01-24,09:12:26
E00058866,U005362,P001211,purchase,01-01-24,09:21:06
E00031294,U003886,P001682,view,01-01-24,09:24:02
E00021039,U006570,P000639,view,01-01-24,09:24:20
E00010724,U008200,P000576,view,01-01-24,09:27:46
E00055882,U008394,P000691,view,01-01-24,09:29:03
E00060691,U004719,P000377,wishlist,01-01-24,09:46:51
E00056758,U009281,P000431,view,01-01-24,09:58:11
E00009286,U004383,P001694,view,01-01-24,10:17:08
E00075123,U009537,P001506,wishlist,01-01-24,10:23:31
E00075726,U008069,P000877,cart,01-01-24,10:37:44
E00033408,U000822,P000364,view,01-01-24,10:51:22
E00038160,U000179,P000466,view,01-01-24,11:00:33
E00072305,U006582,P000991,view,01-01-24,11:03:55
E00065230,U007815,P001637,view,01-01-24,11:07:58
E00074525,U005583,P000352,view,01-01-24,11:08:04
E00026907,U002342,P001617,view,01-01-24,11:30:20
E00023637,U001555,P000687,view,01-01-24,11:32:19
E00003469,U008072,P000563,view,01-01-24,11:47:32
E00043084,U006140,P001021,view,01-01-24,12:05:17
E00063791,U008122,P001725,view,01-01-24,12:10:35
E00062219,U004906,P000136,cart,01-01-24,12:32:28
E00011539,U001937,P001598,view,01-01-24,12:52:41
E00069227,U007362,P000603,purchase,01-01-24,13:22:22
E00003474,U001071,P000159,view,01-01-24,13:27:44
E00030646,U006138,P001842,view,01-01-24,13:28:24
E00033435,U004571,P000965,cart,01-01-24,13:29:12
E00011058,U004074,P001013,cart,01-01-24,13:36:51
E00037080,U005489,P000339,view,01-01-24,13:54:16
E00066371,U000530,P000742,purchase,01-01-24,13:56:52
E00048647,U005175,P001120,view,01-01-24,14:05:30
E00033175,U008674,P000118,view,01-01-24,14:22:38
E00016683,U000608,P001754,cart,01-01-24,15:21:16
E00029350,U005583,P001807,view,01-01-24,15:30:28
E00006945,U008066,P000605,cart,01-01-24,15:45:20
E00054611,U008432,P001328,view,01-01-24,15:55:54
E00069211,U000585,P000316,view,01-01-24,16:07:42
E00070670,U007071,P001694,view,01-01-24,16:09:05
E00056134,U006467,P000379,view,01-01-24,16:21:59
E00079588,U001583,P001245,view,01-01-24,16:23:39
E00028672,U002429,P000833,view,01-01-24,16:27:38
E00016987,U009558,P001483,purchase,01-01-24,16:28:43
E00050476,U002630,P000643,view,01-01-24,16:51:45
E00011106,U000035,P000679,cart,01-01-24,17:02:32
E00026098,U004556,P000602,view,01-01-24,17:31:28
E00011401,U000126,P001879,wishlist,01-01-24,17:32:17
E00057594,U007218,P001701,view,01-01-24,17:36:57
E00066715,U005517,P001338,view,01-01-24,17:44:53
E00039513,U009891,P000659,wishlist,01-01-24,17:54:01
E00010079,U002121,P000631,view,01-01-24,18:11:04
E00012370,U009643,P000003,view,01-01-24,18:17:43
E00051310,U008070,P001637,view,01-01-24,18:37:41
E00074545,U007904,P000004,wishlist,01-01-24,18:39:35
E00015947,U000606,P001532,view,01-01-24,18:39:44
E00000882,U006709,P001419,view,01-01-24,19:16:32
E00068735,U006833,P001595,view,01-01-24,19:31:52
E00060173,U004660,P000150,view,01-01-24,19:33:20
E00044203,U006002,P001208,view,01-01-24,19:33:58
E00015794,U006413,P000340,wishlist,01-01-24,19:40:10
E00017393,U009866,P000816,view,01-01-24,19:56:40
E00026582,U002092,P001910,cart,01-01-24,20:12:04
E00020515,U007484,P000905,view,01-01-24,21:08:40
E00030585,U007824,P000848,view,01-01-24,21:45:27
E00057071,U006170,P000215,view,01-01-24,21:53:06
E00063355,U001513,P001792,view,01-01-24,22:02:33
E00068528,U003919,P000163,view,01-01-24,22:04:25
E00027184,U007585,P000303,view,01-01-24,22:17:39
E00064302,U008529,P001409,purchase,01-01-24,22:26:59
E00037595,U005426,P001869,view,01-01-24,22:59:31
E00023117,U006932,P001299,cart,01-01-24,23:02:38
E00007511,U008687,P000179,view,01-01-24,23:20:06
E00048294,U004779,P001866,purchase,01-01-24,23:23:39
E00049675,U007899,P001219,view,01-01-24,23:58:39
E00068454,U001464,P000680,cart,01-01-24,23:58:43
E00034012,U003739,P000426,view,02-01-24,00:04:15
E00048074,U001753,P001378,view,02-01-24,00:21:14
E00068164,U008063,P001700,wishlist,02-01-24,01:06:22
E00059080,U009783,P001034,view,02-01-24,01:35:53
E00041951,U005739,P000584,view,02-01-24,01:56:49
E00000998,U006454,P001408,view,02-01-24,02:04:42
E00039812,U007493,P001499,purchase,02-01-24,02:12:01
E00037044,U008450,P000882,view,02-01-24,02:13:16
E00070427,U005267,P001037,wishlist,02-01-24,02:32:41
E00020855,U009487,P000734,view,02-01-24,03:06:29
E00017690,U006475,P000077,view,02-01-24,03:38:28
E00002197,U005458,P000410,view,02-01-24,03:38:55
E00025948,U009485,P000801,view,02-01-24,03:56:04
E00055512,U009386,P000427,cart,02-01-24,03:56:14
E00065786,U005105,P001888,view,02-01-24,04:00:34
E00041136,U001451,P001986,view,02-01-24,04:00:52
E00026672,U009201,P000367,cart,02-01-24,04:05:56
E00004957,U001090,P000634,view,02-01-24,04:49:35
E00010361,U006821,P001582,view,02-01-24,05:02:15
E00039327,U009532,P000569,cart,02-01-24,05:02:19
E00035153,U006713,P000687,view,02-01-24,05:04:29
E00066341,U006299,P000687,view,02-01-24,05:09:55
E00054835,U004483,P001392,view,02-01-24,05:16:19
E00078148,U007826,P000408,view,02-01-24,05:29:36
E00077842,U004374,P001290,view,02-01-24,05:43:22
E00053431,U006347,P001137,view,02-01-24,05:50:19
E00050055,U001538,P000262,view,02-01-24,06:05:01
E00056578,U006026,P000867,wishlist,02-01-24,06:09:47
E00058984,U009514,P001064,view,02-01-24,06:10:54
E00009792,U005644,P000274,view,02-01-24,06:42:45
E00002371,U000208,P001678,view,02-01-24,07:05:26
E00022855,U009755,P000666,view,02-01-24,07:14:28
E00066707,U006556,P001473,view,02-01-24,07:17:28
E00051212,U009741,P001676,wishlist,02-01-24,07:19:08
E00079342,U001222,P000318,view,02-01-24,08:07:51
E00002766,U003315,P001046,view,02-01-24,08:19:36
E00020986,U004635,P001764,view,02-01-24,08:32:22
E00002226,U001738,P001379,view,02-01-24,08:41:26
E00022695,U002657,P000817,view,02-01-24,08:46:53
E00031259,U007819,P001147,purchase,02-01-24,08:50:19
E00044186,U007458,P001353,cart,02-01-24,09:03:49
E00016985,U001776,P000064,view,02-01-24,09:26:43
E00061875,U009022,P000797,view,02-01-24,09:30:49
E00045086,U009692,P000364,view,02-01-24,09:37:18
E00014958,U005352,P001218,view,02-01-24,10:08:38
E00047403,U006991,P000643,view,02-01-24,10:37:03
E00067761,U009786,P000422,view,02-01-24,10:39:16
E00031404,U008200,P001566,view,02-01-24,10:45:23
E00056531,U001914,P001274,view,02-01-24,10:58:19
E00001407,U008400,P001408,view,02-01-24,11:27:13
E00065573,U008670,P001142,view,02-01-24,11:29:17
E00066319,U006161,P000176,view,02-01-24,11:34:54
E00036987,U009115,P001744,view,02-01-24,12:09:26
E00076462,U004818,P001805,view,02-01-24,12:13:52
E00064206,U007178,P000949,view,02-01-24,12:17:30
E00074714,U008676,P001514,cart,02-01-24,13:03:14
E00069338,U004481,P000147,cart,02-01-24,13:07:57
E00063970,U008535,P001228,view,02-01-24,13:19:04
E00004085,U009950,P001067,view,02-01-24,13:20:16
E00051670,U006313,P001409,purchase,02-01-24,13:23:21
E00068220,U005686,P000921,view,02-01-24,13:24:46
E00042673,U004326,P001481,view,02-01-24,14:06:06
E00035556,U000146,P001042,cart,02-01-24,14:10:07
E00067543,U004120,P000140,cart,02-01-24,14:12:36
E00021062,U007895,P001431,view,02-01-24,14:16:38
E00056002,U000020,P000444,view,02-01-24,14:25:40
E00042238,U005173,P001538,view,02-01-24,14:44:41
E00003232,U008525,P001619,cart,02-01-24,14:51:38
E00041966,U000948,P001810,view,02-01-24,15:09:10
E00002621,U006161,P000344,view,02-01-24,15:10:23
E00010031,U009551,P000867,view,02-01-24,15:39:37
E00069742,U004997,P001713,view,02-01-24,15:39:39
E00043549,U008526,P001566,view,02-01-24,15:50:51
E00039810,U004382,P001693,purchase,02-01-24,16:18:58
E00074497,U001201,P000445,view,02-01-24,16:47:47
E00002212,U005174,P000559,view,02-01-24,17:08:21
E00028239,U009503,P001129,view,02-01-24,17:12:21
E00050351,U005904,P001479,view,02-01-24,17:33:24
E00063056,U001336,P000821,view,02-01-24,17:37:54
E00022897,U002657,P001592,view,02-01-24,17:41:46
E00065721,U007561,P000381,view,02-01-24,17:42:44
E00037447,U003730,P000286,wishlist,02-01-24,17:56:28
E00053616,U006711,P001830,view,02-01-24,18:04:34
E00016057,U000438,P000947,wishlist,02-01-24,18:46:35
E00037387,U006849,P000595,cart,02-01-24,18:47:49
E00012408,U000071,P001221,view,02-01-24,18:50:26
E00053482,U001341,P000697,view,02-01-24,19:03:16
E00039038,U005958,P000601,view,02-01-24,19:06:47
E00025742,U008305,P001375,view,02-01-24,19:49:06
E00072848,U000316,P000904,wishlist,02-01-24,19:52:26
E00050519,U005299,P001854,view,02-01-24,19:56:47
E00076135,U008494,P001924,wishlist,02-01-24,19:57:09
E00030615,U007637,P001599,wishlist,02-01-24,20:11:56
