order_id,user_id,order_date,order_time,total_amount
O00010104,U007788,07-08-2025,04:08:55,7950.74
O00006269,U006376,30-03-2025,00:52:56,7793.20
O00006360,U005279,08-02-2024,04:46:02,7735.27
O00011687,U000006,27-03-2024,01:18:08,7490.93
O00013787,U003852,20-04-2025,17:56:56,7452.94
O00005889,U006231,23-01-2024,12:46:45,7051.40
O00005963,U009076,30-07-2024,21:54:20,7013.55
O00000744,U009931,10-11-2024,10:56:25,6975.66
O00014664,U002574,25-02-2024,19:49:01,6499.76
O00013562,U002814,25-10-2025,20:02:11,6360.11
O00003203,U006696,18-01-2024,11:10:35,6340.40
O00004528,U006233,09-12-2024,19:37:25,6267.05
O00001337,U005797,13-06-2025,11:28:06,6265.52
O00001566,U005921,24-06-2025,04:04:02,6195.80
O00002113,U008370,27-09-2024,05:26:50,6166.89
O00006650,U004277,25-04-2024,02:31:05,6138.50
O00004586,U003427,01-11-2025,00:09:43,6123.01
O00017821,U009626,25-04-2025,00:00:31,6101.43
O00016994,U005803,13-10-2024,05:10:19,6066.85
O00008591,U001861,05-03-2024,10:03:13,5821.54
O00004183,U002851,07-11-2024,16:45:29,5790.47
O00010626,U000567,02-05-2024,04:53:02,5785.10
O00017229,U005201,17-08-2024,05:04:37,5761.47
O00011255,U007500,27-11-2024,20:01:32,5734.88
O00012980,U000564,22-09-2024,21:02:17,5717.67
O00009897,U009674,20-01-2024,04:24:02,5711.62
O00001520,U004729,19-09-2025,23:25:03,5682.77
O00009891,U008543,09-10-2025,14:01:11,5637.41
O00006708,U006817,05-07-2024,12:33:51,5559.33
O00007316,U002659,02-12-2024,08:29:33,5514.95
O00008048,U003711,02-02-2024,00:29:00,5506.43
O00004819,U002693,19-05-2024,22:54:35,5502.76
O00016900,U006801,27-09-2024,01:27:43,5471.26
O00002146,U000234,28-08-2025,21:07:46,5433.42
O00009319,U004982,10-08-2024,18:36:33,5397.05
O00010171,U006632,29-01-2024,17:46:31,5374.66
O00013383,U004172,01-02-2024,03:53:45,5368.25
O00003625,U002700,20-03-2025,04:23:05,5334.36
O00002901,U004474,13-01-2024,00:45:18,5323.75
O00000220,U008072,28-11-2024,01:25:41,5220.21
O00011531,U006816,31-10-2025,23:49:54,5183.18
O00011975,U000319,18-07-2025,09:02:18,5180.76
O00017742,U007594,01-09-2024,14:27:00,5176.65
O00019575,U004736,26-06-2024,12:26:15,5166.20
O00015502,U005169,10-03-2024,17:17:00,5156.63
O00005233,U002376,15-05-2025,13:46:00,5125.41
O00016808,U004990,19-12-2024,18:33:13,5117.51
O00008460,U000394,11-10-2024,19:17:18,5112.76
