review_id,order_id,product_id,user_id,rating,review_text,review_date,review_time
R00000528,O00000237,P001326,U001094,2.00,Color was different from images.,14-10-2025,12:03:57
R00005792,O00002627,P000329,U001858,4.00,Highly recommend this brand.,09-10-2024,08:04:50
R00036604,O00016798,P001160,U008109,4.00,Highly recommend this brand.,03-06-2024,05:11:17
R00040163,O00018414,P001427,U006835,5.00,Highly recommend this brand.,12-02-2024,06:41:50
R00031127,O00014300,P001639,U007148,3.00,Item arrived damaged.,20-01-2025,05:32:09
R00012121,O00005571,P000545,U008471,2.00,Item arrived damaged.,23-03-2025,06:43:41
R00000603,O00000268,P001726,U005394,4.00,"Not as expected, quality is poor.",01-01-2025,11:49:13
R00010126,O00004654,P001747,U009810,2.00,"Excellent product, will buy again.",07-09-2025,13:15:38
R00033877,O00015558,P000255,U004269,4.00,Decent product for the price.,09-09-2024,21:51:41
R00019035,O00008786,P001146,U003737,4.00,Item arrived damaged.,13-03-2025,01:50:37
R00003469,O00001572,P001532,U001968,5.00,Fast shipping and good packaging.,04-03-2025,07:14:00
R00026357,O00012147,P000392,U003999,2.00,Customer service was helpful.,08-03-2025,06:52:03
R00029656,O00013626,P000059,U000751,4.00,Highly recommend this brand.,29-07-2024,18:57:18
R00015280,O00007040,P000613,U008311,5.00,"Not as expected, quality is poor.",09-11-2025,13:42:29
R00024176,O00011156,P001381,U007526,5.00,"Not as expected, quality is poor.",05-10-2024,12:44:41
R00000606,O00000270,P001724,U003564,3.00,Decent product for the price.,03-10-2025,15:36:52
R00041037,O00018816,P001712,U003454,5.00,Value for money.,13-02-2024,23:19:10
R00040442,O00018535,P000799,U007464,5.00,"Excellent product, will buy again.",24-04-2025,09:14:59
R00015247,O00007026,P000556,U002283,5.00,"Excellent product, will buy again.",20-09-2024,07:19:19
R00023765,O00010964,P001553,U009849,2.00,Fast shipping and good packaging.,14-09-2025,08:18:56
R00004269,O00001952,P001923,U005570,5.00,Item arrived damaged.,19-08-2024,13:52:25
R00017904,O00008274,P000346,U008162,3.00,"Excellent product, will buy again.",15-07-2024,22:48:26
R00032422,O00014892,P000350,U008682,5.00,Customer service was helpful.,08-12-2024,01:46:17
R00016010,O00007394,P000432,U007121,3.00,Fast shipping and good packaging.,28-01-2025,18:11:20
R00026444,O00012188,P001306,U004144,3.00,Works perfectly!,04-08-2024,08:57:25
R00008465,O00003872,P001472,U004495,4.00,Decent product for the price.,25-07-2025,06:58:22
R00029713,O00013652,P000235,U004903,2.00,Value for money.,20-04-2024,10:12:17
R00005102,O00002325,P000866,U000765,5.00,Highly recommend this brand.,22-05-2024,13:49:45
R00003569,O00001615,P000845,U004108,2.00,"Not as expected, quality is poor.",25-10-2025,21:41:09
R00035862,O00016473,P001516,U004679,2.00,Highly recommend this brand.,14-01-2025,18:55:09
R00015152,O00006982,P001087,U007112,5.00,Fast shipping and good packaging.,06-11-2025,19:11:09
R00023167,O00010687,P001829,U009789,4.00,Value for money.,06-08-2024,05:49:52
R00002942,O00001345,P000092,U004534,3.00,"Excellent product, will buy again.",05-07-2025,11:23:49
R00042740,O00019637,P001012,U005028,3.00,Fast shipping and good packaging.,24-01-2024,21:14:29
R00006147,O00002782,P001243,U007201,4.00,"Not as expected, quality is poor.",10-07-2024,18:40:57
R00038016,O00017435,P000967,U000612,3.00,"Excellent product, will buy again.",17-01-2025,01:24:34
R00023675,O00010919,P001423,U003737,2.00,Color was different from images.,19-10-2024,10:56:55
R00042063,O00019307,P000604,U008051,4.00,Color was different from images.,08-02-2024,19:58:42
R00008251,O00003772,P000818,U008082,3.00,Color was different from images.,08-01-2024,11:47:16
R00029063,O00013370,P000589,U002435,5.00,Item arrived damaged.,31-03-2025,21:08:13
R00022965,O00010596,P000407,U007386,3.00,Color was different from images.,21-10-2024,06:44:35
R00004484,O00002044,P000965,U001291,1.00,Works perfectly!,22-10-2025,12:35:33
R00000324,O00000146,P000950,U004487,3.00,"Not as expected, quality is poor.",10-01-2024,00:13:59
R00032093,O00014736,P001587,U000036,2.00,Decent product for the price.,13-02-2024,14:18:38
R00008846,O00004046,P001243,U008399,1.00,Item arrived damaged.,18-05-2024,09:53:44
R00012900,O00005925,P001840,U008539,4.00,Highly recommend this brand.,15-03-2024,05:06:53
R00041921,O00019237,P001475,U009147,3.00,Decent product for the price.,30-05-2024,04:11:48
R00025058,O00011566,P001928,U002472,5.00,Decent product for the price.,21-04-2025,01:14:59
R00019148,O00008845,P001256,U005640,5.00,Highly recommend this brand.,04-09-2024,06:40:05
R00023003,O00010615,P000023,U009910,4.00,Customer service was helpful.,24-11-2024,09:45:45
R00029765,O00013682,P000509,U004805,2.00,Highly recommend this brand.,26-08-2025,23:18:32
R00035653,O00016371,P001886,U006793,2.00,Decent product for the price.,15-09-2024,02:40:17
R00008967,O00004104,P001774,U003917,5.00,Decent product for the price.,19-11-2024,20:54:45
R00035481,O00016296,P000482,U003243,4.00,Decent product for the price.,02-01-2024,11:07:20
R00016055,O00007415,P000851,U009316,1.00,Item arrived damaged.,20-01-2024,03:37:18
R00016789,O00007753,P001591,U003375,3.00,Works perfectly!,07-06-2024,13:38:34
R00025569,O00011793,P001659,U007172,5.00,Decent product for the price.,14-11-2025,10:50:00
R00034176,O00015686,P000436,U001047,3.00,Highly recommend this brand.,10-03-2025,14:17:04
R00016556,O00007647,P001922,U008062,4.00,Customer service was helpful.,21-01-2025,06:10:20
R00005585,O00002543,P001775,U006773,3.00,Works perfectly!,05-11-2025,21:58:16
R00037971,O00017416,P001617,U001833,3.00,Highly recommend this brand.,11-12-2024,08:16:35
R00031237,O00014345,P000348,U004310,3.00,Customer service was helpful.,21-07-2025,14:45:32
R00034011,O00015612,P001968,U004687,2.00,Highly recommend this brand.,07-08-2024,05:45:21
R00016635,O00007683,P000302,U000814,2.00,"Not as expected, quality is poor.",23-06-2024,22:40:51
R00019587,O00009059,P001525,U000002,3.00,"Not as expected, quality is poor.",14-10-2024,11:05:50
R00021639,O00009989,P000324,U006287,5.00,Item arrived damaged.,29-03-2024,17:39:06
R00004415,O00002013,P000274,U006339,3.00,Customer service was helpful.,10-10-2024,23:41:56
R00015117,O00006967,P001726,U008527,3.00,"Not as expected, quality is poor.",19-01-2024,14:21:11
R00039547,O00018133,P001465,U009969,1.00,Highly recommend this brand.,09-01-2024,17:08:00
R00026689,O00012283,P001493,U008612,3.00,Customer service was helpful.,26-07-2024,10:05:08
R00038070,O00017459,P001353,U007897,5.00,Item arrived damaged.,12-07-2025,11:15:09
R00026305,O00012119,P001936,U008113,3.00,Color was different from images.,08-01-2025,21:34:53
R00013316,O00006126,P000076,U007902,4.00,"Not as expected, quality is poor.",07-11-2025,19:16:25
R00027487,O00012642,P001116,U001152,5.00,Customer service was helpful.,13-05-2025,03:52:58
R00039803,O00018255,P001564,U004501,3.00,"Excellent product, will buy again.",12-09-2025,13:02:28
R00043417,O00019957,P000386,U003704,2.00,Color was different from images.,26-08-2024,17:51:46
R00008346,O00003818,P001919,U006497,4.00,Customer service was helpful.,04-01-2025,02:49:21
R00017225,O00007955,P001553,U008510,2.00,Value for money.,22-09-2025,06:58:20
R00037826,O00017351,P001022,U004468,5.00,Fast shipping and good packaging.,10-09-2025,20:56:13
R00037320,O00017127,P000557,U009238,3.00,Customer service was helpful.,07-03-2025,04:29:53
R00031336,O00014389,P001850,U009942,4.00,Works perfectly!,28-02-2024,14:28:50
R00018475,O00008531,P000203,U008712,3.00,"Not as expected, quality is poor.",15-04-2024,10:23:19
